,Culture,Count
3728,Italian or possibly Spanish,3
5273,Pakistan (Swat Valley),3
2134,"French, Rouen or Sinceny",3
5761,Scytho-Sarmatian,3
3912,"Italian, Venice (?)",3
6829,"hilt, Italian; blade, German, Solingen",3
7226,probably Japanese,3
6736,"Yup'ik, Native American",3
6156,Swiss and French,3
890,"British, possibly Bristol",3
1056,Celtic or Roman,3
4549,Mediterranean,3
4780,Native American (Iroquois),3
889,"British, possibly Bow, London",3
6164,"Swiss, Canton Wallis (Valais)",3
3919,"Italian, Venice (Murano) or French",3
5162,Northern Pakistan (Brahmanical post-Gupta),3
2793,"Greek, Macedon",3
3739,"Italian, Bargi",3
876,"British, after Irish original",3
86,Alamblak people (?),3
1076,Central Coast,3
6717,"Yoruba peoples, Egbado or Ibarapa group",3
2147,"French, Saint-Omer (Lille Mint)",3
5747,Scottish or British,3
2932,Highlands,3
6715,"Yoruba peoples, Egbado group",3
6714,Yoruba peoples (?),3
4268,"Kuba peoples, Mbala group",3
6712,Yoruba people,3
164,"American, New Haven, Connecticut",3
2362,"German, Breslau (Wrocław)",3
4850,Native American (Skittagetan or Haida),3
798,"British, Maidenhead",3
4315,Lamaholot people,3
3459,"Indian, Tanjore",3
2543,"German, Silesia (Petersdorf)",3
363,Azerbaijani,3
5436,Pomo,3
4079,Jama-Coaque,3
1441,Darien,3
6538,"Vietnam (North, Dong Song Culture)",3
1437,"Danish, Tønder",3
298,Assyro-Babylonian or Achaemenid,3
5593,Roman or Frankish,3
6376,Toma peoples,3
6539,"Vietnam (North, Highlands)",3
3212,"India (Rajasthan, Sawar)",3
1738,European (Byzantine style),3
368,Babanki,3
3448,"Indian, Sikkim or Bhutanese",3
1720,"Etruscan, Populonia",3
1719,"Etruscan, Italo-geometric",3
1718,"Etruscan, Italo-Corinthian",3
1454,Dilmun,3
5952,Southern Thailand,3
7104,probably Cameroonian,3
5440,"Pomo, Native American",3
4088,Japan (Ainu),3
5442,Pontine,3
5444,"Portugal, Caldas de Rainha",3
2621,"German, probably Franconia",3
1470,Dongson,3
2550,"German, Stockelsdorf",3
4915,"Nepal, Bhaktapur",3
4140,"Javanese, Surakarta",3
6393,Torres Strait Islander,3
6373,Toltec,3
294,Assyrian or Iranian,3
2553,"German, Suhl",3
4061,"Italic-Native, Sicilian (Centuripe)",3
1777,"Ewe peoples, Egun or Aja group",3
3194,"India (Rajasthan, Jaipur)",3
6354,Tiwanaku (?),3
6352,Tiv peoples,3
721,"British, Crown Derby",3
7147,"probably French, Fontainebleau",3
3187,"India (Rajasthan, Amber?)",3
1749,European or German (?),3
3499,"Indian, south India, Tanjore",3
3501,"Indian; blade, European",3
2667,Grassfields region,3
4358,Leti Island,3
6343,Tikar,3
5971,Spanish Colonial,3
1390,Cuyo Island,3
4062,"Italic-Native, South Italian (Canosan)",3
4366,Liberian,3
2662,Graeco-Bactrian,3
1399,Cypriot or Greek,3
3486,"Indian, possibly Lucknow",3
5031,North American,3
717,"British, Colonial",3
4886,"Native Italic, Apulian, Messapian",3
6627,"Western European, Gallo-Roman (found in Vermand, France)",3
1413,Czechoslovakian,3
4067,Italo-Arabic,3
6548,"Vietnam, Hong River region",3
7143,probably French or German,3
3210,"India (Rajasthan, Nathadwara)",3
6547,Vietnam(?),3
4888,"Native Italic, Daunian, Canosan",3
638,British or North French,3
6525,Vietnam (?),3
2509,"German, Potsdam or Zechlin",3
3294,"India, Kishangarh, Rajasthan",3
664,"British, Birmingham, after Dutch, Amsterdam original",3
4125,"Japanese, for European, probably Dutch, market",3
3380,"Indian, Bengal",3
6490,Uruguayan,3
1628,Eastern Tibetan,3
1538,"Dutch, probably Friesland",3
6431,Turkish or Iranian,3
6495,Uzbek,3
5059,North India,3
2573,"German, Westerwald (Grenzhausen)",3
324,"Austrian, Breslau (Wrocław)",3
647,"British, Battersea, London",3
3279,"India, Calcutta, West Bengal",3
3278,"India, Calcutta",3
650,"British, Bedfordshire (?)",3
3368,Indian or Persian,3
1616,Eastern Nahua,3
5528,Probably Etruscan,3
6441,"Turkish, Istanbul (?)",3
6442,"Turkish, Ottoman",3
3315,"India, Punjab Hills, kingdom of Guler",3
2580,"German, Zechlin",3
5521,Probably Austrian,3
6446,"Turkish, possibly Istanbul, in the style of Turkman armor",3
5520,Probably American,3
3364,Indian or Iranian,3
3352,Indian (North),3
6461,Tzutihil Maya,3
1594,Eastern European (Croatia),3
3345,Indian (Bengal),3
657,"British, Birmingham or London",3
4104,Japanese (Ainu),3
1642,Ecuadorian and Philippine,3
686,"British, Birmingham, after Spanish original",3
1683,English or Scottish,3
5458,Possibly American,3
318,Austrian or Hungarian,3
3414,"Indian, Jaipur",3
1500,"Dutch, Dokkum",3
2559,"German, Thuringia, Wallendorf",3
3423,"Indian, Mahratta",3
3424,"Indian, Malabar",3
3389,"Indian, Chota Nagpur",3
6400,Tsimshian (?),3
352,"Austrian, probably Vienna",3
354,Austrian?,3
1691,Esteros or Bahía,3
4378,Loma or Toma peoples,3
5582,Rennell Island,3
3259,India (probably Uttar Pradesh),3
5561,Punic,3
2616,"German, probably Berlin",3
1519,"Dutch, Marken Island",3
1521,"Dutch, Rotterdam",3
6500,Venado Beach,3
6419,Turkana peoples,3
5553,Prussian,3
1655,Egyptian (?),3
4409,Luba or Songye peoples,3
7126,probably Eastern European,3
1523,"Dutch, Sneek",3
1651,"Edo peoples, Urhobo group",3
1527,"Dutch, Utrecht",3
5474,Possibly Flemish or German,3
5911,Southern French,3
4407,Luba,3
7151,"probably French, Niderviller",3
7252,probably Portuguese,3
251,Arabic,3
3523,Indonesia (Bali),3
6594,West Africa,3
5387,"Philippine, Kalinga",3
753,"British, Lancashire",3
32,Afghanistan (Hadda),3
5098,Northeast Italian,3
6899,possibly Congolese,3
4946,New Georgia Island,3
4056,"Italic, Samnite",3
4331,Laotian,3
1837,"Flemish, Liège",3
5668,"Russian, Balakhna",3
5669,"Russian, Gorbunovo",3
3533,"Indonesia (Java, Lumajang)",3
3557,"Indonesia, Borneo",3
3082,"India (Bihar, Nalanda)",3
4158,Kamba peoples,3
1340,Colonial (?),3
2695,"Greek Islands, Dodecanese, possibly Astypalaia",3
1320,Circassian,3
7168,"probably German, Augsburg",3
5660,Russian (Siberian),3
5095,Northeast French,3
6614,Western Arnhem Land,3
4872,Native American (Yukian),3
3102,India (Delhi-Agra area),3
4333,Lapita people,3
7073,"probably Austrian, Innsbruck",3
2460,"German, Meissen with Augsburg decoration",3
4469,Mama peoples,3
5985,"Spanish or Italian, Venice",3
5999,"Spanish, Albacete",3
5633,"Roman, eastern Mediterranean",3
2488,"German, Muskau",3
6602,"West Bengal, Calcutta, Kalighat",3
1843,"Flemish, Raeren",3
1856,Florentine,3
6001,"Spanish, Almería",3
4344,Late Villanovan,3
1919,French or German and Syrian,3
4347,Latvian,3
6577,Wardaman,3
5621,"Roman, North Syrian",3
1252,"Chinese, for European, probably French, market",3
5364,Peruvian (?),3
1879,Frankish or Northern French,3
1364,Conte or Coclé (Macaracas),3
6303,Thailand or India,3
4438,Makonde,3
7087,probably Brazilian,3
1367,Cook Islands,3
4316,Lambayeque (?),3
4007,"Italian, probably Castel Durante",3
4689,Murik Lakes (?),3
2670,Greater Chiriquí,3
5103,Northeastern Thailand,3
429,Bamileke (Bagam),3
3506,Indigenous American (Costa Rican),3
3161,India (Maharasthra),3
1817,Flemish or German,3
2479,"German, Meissen with probably French mounts",3
444,Bamum kingdom,3
4441,Malaita Island,3
7296,probably Turkish,3
3117,"India (Himachal Pradesh, Chamba)",3
6331,Tibetan or Indian,3
3558,"Indonesia, Java",3
1924,"French or Italian, Venice (Burano)",3
6579,Wari (?),3
30,"Afghan; lock, British",3
7178,"probably German, Nuremberg",3
403,"Balkan, Bulgaria or Macedonia",3
3898,"Italian, Urbino or possibly Turin",2
4025,"Italian, probably Padua",2
4724,Nasca-Wari,2
4030,"Italian, probably Siena",2
2701,"Greek Islands, Mitylene",2
2818,"Greek, Sardinian",2
2699,"Greek Islands, Kos",2
4023,"Italian, probably Naples or environs",2
4131,"Japanese, with French mount",2
4098,Japan or China,2
3987,"Italian, possibly Pesaro",2
2708,"Greek Islands, possibly Cyclades or Patmos",2
2733,"Greek, Asia Minor, Myrina (?)",2
2700,"Greek Islands, Kos or Patmos",2
5909,Southern France (?),2
4031,"Italian, probably Tuscany",2
3986,"Italian, possibly Perugia",2
4137,Javanese or Sumatra,2
4682,Mpongwe people,2
2729,"Greek, Argos",2
5050,North French or Netherlandish,2
4021,"Italian, probably Naples district or Vietri sul Mare",2
3999,"Italian, possibly Verona",2
2824,"Greek, Sicilian, Syracuse",2
4014,"Italian, probably Florence or vicinity",2
5023,"North America (Alaska, Point Barrow)",2
2598,"German, possibly Munich",2
4123,"Japanese, for Dutch market",2
4119,"Japanese, Nagasaki",2
5198,Nunuma,2
2826,"Greek, South Italian (?)",2
3871,"Italian, South Lombardy",2
2828,"Greek, South Italian ?",2
2829,"Greek, South Italian or Etruscan",2
3867,"Italian, Sicily, Ragusa",2
2594,"German, possibly Lower Saxony",2
4001,"Italian, probably",2
4789,Native American (Kwakiutl),2
4002,"Italian, probably Bologna",2
2718,Greek or Italian,2
5021,"North America (Alaska, Jade Mountain)",2
4015,"Italian, probably Gubbio",2
4740,Native American (Bora or Huitoto),2
4168,Kantu' people,2
4204,Kiribati,2
4169,Kapriman people,2
3885,"Italian, Tuscany, perhaps Florence",2
4597,Middle Magdalena River,2
5916,"Southern German or Austrian, Tyrol",2
5189,"Norwegian, Oslo",2
5854,South China or Annam,2
5195,Nuna (?),2
5192,Nukuma,2
5108,Northern China,2
4181,Kauer people,2
4205,Kiribati (?),2
2714,Greek or Bulgarian,2
5109,Northern Dutch,2
5057,"North German, possibly Brunswick",2
5126,Northern French or Netherlandish,2
4637,Mohave,2
5070,North Italian or French,2
4071,Iwaino people ,2
5091,"North-central Thailand, Sukhothai kilns",2
4053,"Italic, Etruscan",2
5886,South Netherlandish or French,2
2779,"Greek, Eretrian",2
5873,"South Indian, Thanjavur",2
4068,Italo-Byzantine,2
4070,Italy or France,2
4623,Moba peoples (?),2
3937,"Italian, Venice or Genoa",2
3931,"Italian, Venice or Damascan",2
3935,"Italian, Venice or Flemish, Brussels",2
4150,Jukun peoples,2
5011,North African (Tuareg),2
2639,"German; restorations, French, Paris",2
2758,"Greek, Chalcidian?",2
5135,Northern Highlands region,2
3967,"Italian, possibly Bologna",2
2631,"German, probably Westerwald",2
4703,Māori,2
4730,"Native American (Allegheny band, Seneca people)",2
4774,Native American (Inuit),2
2675,Greek (?),2
2765,"Greek, Cretan ?",2
5876,"South Indian, possibly Deccan",2
4057,"Italic, South Italian",2
4766,Native American (Haida or Tsimshian),2
2665,Graeco-Roman,2
5090,"North-central Thailand, Sukhothai Province, Sisatchanali kilns",2
3948,"Italian, Venice, Murano",2
5831,Solo (Surakarta) district,2
5140,"Northern India, Delhi or Agra region",2
5151,Northern Italian or German,2
2672,"Greater Nicoya, Central Region (Costa Rica), Greater Chiriquí, or Greater Coclé",2
4690,Murik people,2
5153,"Northern Italian, Lombardy",2
4691,Murngin,2
5138,Northern India,2
4693,"Muscogee/ Creek, Native American",2
2775,"Greek, Eastern Mediterranean, possibly Alexandrian",2
4617,Mississippian or Hopewell,2
3930,"Italian, Venice or Austrian, Innsbruck",2
4095,Japan and France,2
3976,"Italian, possibly Florence or Faenza",2
2623,"German, probably Landshut",2
2804,"Greek, Pontic",2
5868,"South India, Andhra Pradesh, Tirupati",2
4165,Kaniet Islands,2
5812,"Silesian, probably Teschen",2
4752,Native American (Chippewa: Ojibwa),2
2688,"Greek Islands, Cyclades, Paros",2
4659,Morobe Province,2
5811,"Silesian, Teschen",2
4073,Ixtlán del Río,2
4034,"Italian, probably Urbania or Rome",2
5840,Songo,2
5864,South Highlands (?),2
5807,Sierra Leonean,2
2619,"German, probably Dresden or Annaberg",2
4660,Morobe province,2
2693,"Greek Islands, Dodecanese, Kos",2
4196,"Kingdom of Jerusalem (near present-day ʻAkko, Israel)",2
5008,North Africa,2
4081,Jamaican,2
3974,"Italian, possibly Ferrara",2
2684,"Greek Islands, Astypalaia or Karpathos",2
4686,Mulga Downs Cave,2
5824,Slavonic,2
4075,Jaba or Koro peoples,2
4616,Mississippian (Ancestral Quapaw),2
4048,Italian?,2
5821,"Sioux, Native American",2
3969,"Italian, possibly Cafaggiolo",2
2754,"Greek, Caeretan",2
4144,"Javanese, possibly Madura",2
5128,Northern German,2
4162,Kamoro (Mimika),2
2797,"Greek, Myrina",2
5167,"Northern Thailand, Kalong kilns",2
2750,"Greek, Bactrian",2
2799,"Greek, Peloponnesian",2
5904,Southern Cambodia,2
5817,Sino-Tibetan,2
2652,Ghana,2
2970,Hungarian or Slovakian,2
5205,Nyika peoples,2
3120,"India (Himachal Pradesh, Mandi)",2
5634,"Roman, possibly Egyptian",2
3141,"India (Karnataka, Mysore or Tamil Nadu)",2
4942,"Netherlandish, probably Gouda",2
3139,"India (Kangra, Himachal Pradesh)",2
3138,"India (Kanchipuram, Tamil Nadu)",2
4332,Laotian (Tai Neua),2
5379,"Philippine, Bontoc",2
4451,Malaysia (Malayan),2
5375,Philippine (Mindanao),2
5637,"Roman, probably northern Italian",2
5638,Roman-German,2
3131,India (Jammu and Kashmir),2
4869,Native American (Yakutat Tlingit),2
3127,"India (Jaipur, Rajasthan)",2
4868,Native American (Winnebago),2
3145,India (Kashmir),2
3535,"Indonesia (Java, Majapahit ?)",2
5627,"Roman, Rhineland",2
4929,Netherlandish or German,2
3176,"India (Punjab Hills, Bilaspur)",2
3175,"India (Punjab Hills, Basohli)",2
5614,"Roman, Gallic",2
4926,Netherlandish or British (?),2
3171,"India (Pahari Hills, Kangra or Guler)",2
4928,Netherlandish or French,2
3169,"India (Pahari Hills, Guler or Kangra)",2
5388,"Philippine, Lanao del Sur",2
3505,Indigenous American (Chimu peoples),2
4439,Makonde people,2
3517,Indo-Portuguese,2
4349,Leele peoples,2
5625,"Roman, Pompeii",2
5389,"Philippine, Luzon",2
4330,Laos,2
3567,Indonesian (Sumatra),2
3600,"Iran, Afghanistan or China (Xinjiang Autonomous Region)",2
4866,"Native American (Wapisiana, probably)",2
3092,"India (Coromandel Coast), for the Japanese market",2
5664,Russian or Polish,2
3089,India (Coromandel Coast),2
3088,"India (Chittorgarh, Udaipur)",2
4945,New Caledonia,2
3582,Indonesian?,2
4475,"Mambila peoples, Kabri group",2
3585,Ingura people (?),2
4476,"Mambila peoples, Kaka group",2
3586,Initial Style,2
3075,"India (Basohli, Jammu)",2
3588,Inner Mongolia,2
5675,"Russian, Nikolskoye Pestrovka",2
3069,India (Andhra Pradesh),2
3594,International or Initial Style,2
5662,Russian or German,2
4470,Mambila,2
5656,Russian (?),2
3111,India (Gujerat),2
4329,Langobardic or Frankish,2
4462,Malinke,2
3569,Indonesian (Sundanese),2
4465,Maliseet,2
3116,"India (Himachal Pradesh, Bilaspur)",2
3571,"Indonesian, Gorontalo",2
3109,"India (Gujarat, Patan)",2
4467,Maloh people,2
3572,"Indonesian, Lombok",2
5653,Russia (Bering Sea Coast of Siberia),2
4466,Maloh or Iban people,2
3576,"Indonesian, Sulawesi (possibly the Philippines)",2
4327,Langobardic or Byzantine,2
3103,India (Gujarat or Rajasthan),2
3181,"India (Punjab Hills, Mandi)",2
4880,"Native American, Plains",2
4924,Netherlandish (?),2
4432,Mahdist peoples,2
4897,Near Eastern,2
5472,Possibly European,2
5554,Ptolemaic,2
3397,"Indian, Coromandel Coast, for European market",2
5558,Puerto Rico,2
5563,Punu peoples,2
5459,Possibly Austrian,2
3416,"Indian, Khond",2
3419,"Indian, Kol",2
5574,Rajah Ampat Islands,2
3242,"India (West Bengal, Chandraketugarh)",2
3425,"Indian, Maratha",2
4381,Lombard,2
3233,"India (Uttar Pradesh, Kaushambi)",2
3231,India (Uttar Pradesh or Madhya Pradesh),2
5549,Probably western Asiatic or Levantine,2
3277,"India, Bundi, Rajasthan",2
3388,"Indian, Central or South India",2
3305,"India, Mankot, Himachal Pradesh",2
5503,Possibly Spanish,2
5497,Possibly Northern Italian,2
4405,Lozi peoples,2
3355,Indian (Tamil Nadu),2
5519,Probably Afghan,2
3317,"India, Punjab Hills, kingdom of Kangra",2
5485,Possibly Indian,2
3280,"India, Chamba, Himachal Pradesh",2
5535,Probably Igbo people,2
4400,Lower Rhenish or Saxon,2
3298,"India, Madhya Pradesh",2
3293,"India, Kashmir",2
3384,"Indian, Bhil",2
5545,Probably Tanzanian,2
3433,"Indian, Mysore",2
3230,"India (Udaipur, Rajasthan)",2
3228,"India (Tamil Nadu, Nagapattinam)",2
3484,"Indian, possibly Deccan",2
3476,"Indian, for French market",2
5420,Pima or Papago (?),2
4371,Lio or Ende peoples,2
5415,Phoenician?,2
3483,"Indian, possibly Central Indian",2
4370,Lio,2
5601,"Roman, Asia Minor, Tarsus",2
3471,"Indian, central India",2
3487,"Indian, possibly North Indian",2
4922,Nepalese or Indian,2
4425,Machalilla,2
3492,"Indian, probably Deccan",2
4364,Liberia or Guinea,2
3496,"Indian, probably Sikh",2
5422,Plains,2
4918,"Nepal, Kathmandu Valley, possibly Deopatan",2
5446,Portugese,2
3451,"Indian, Sindh",2
5443,Popayan,2
3226,"India (Tamil Nadu, Kanchipuram)",2
4413,Lumbo peoples,2
3223,India (Tamil Nadu and Kerala),2
3447,"Indian, Sikh",2
5586,Rhodian (Fikellura),2
3218,"India (Rajasthan, possibly Mewar)",2
3467,"Indian, Vijayanagara",2
5592,Roman or Celtic,2
4416,Luzon Island (?),2
5594,Roman or Greek,2
4417,Lwalwa (or Lwalu) peoples,2
4373,"Livonian, Riga",2
5427,"Polish, Cracow",2
4313,Lagunillas,2
4949,New Guinea,2
3857,"Italian, Rome or Florence",2
5249,Ostrogothic (?),2
5752,"Scottish, Hamilton",2
5753,"Scottish, Inverness",2
5756,"Scottish, West Pans, Musselborough",2
4256,Kru peoples,2
4974,Ngala peoples,2
3754,"Italian, Castel Durante or Sicily",2
4976,Ngbaka peoples,2
3757,"Italian, Cremona",2
4552,Melanesian (Vanuatu),2
5759,Scythian (?),2
4246,Koro peoples,2
4980,Ngumba,2
4805,Native American (Northeastern Arizona),2
3767,"Italian, Emilia-Romagna",2
4242,Korewori River,2
4260,Kuba people,2
3744,"Italian, Bolzano or Milan",2
4546,Mbole peoples,2
3732,"Italian, Abruzzi (Gessopalena)",2
2946,Hispano-Philippine,2
2945,Hispano-Moresque,2
5274,Pakistan (ancient region Gandhara (Swat Valley?),2
4965,Newari for Nepal or Tibet market,2
2934,"Highlands, Mt. Hagen region",2
4538,Mayan,2
5748,"Scottish, Doune",2
4545,Mbete peoples,2
4966,Newari for Tibetan Market,2
5271,Pakistan (Quetta area),2
5270,"Pakistan (Northwest Frontier Province, probably Swat Valley)",2
5269,"Pakistan (Northwest Frontier Province, Swat Valley)",2
2925,Heiltsuk,2
4967,Newari for Tibetan market,2
3772,"Italian, Faenza or Pesaro",2
4240,Korean or Chinese,2
3608,"Iranian, probably Tabriz",2
3779,"Italian, Florence or Rome",2
4992,Nigerian (Efik),2
5215,Ogoni peoples,2
5785,Sesklo culture,2
5786,"Shaker, American",2
2861,"Greek, from Egypt",2
3839,"Italian, Pavia",2
4792,Native American (Mandan),2
2857,"Greek, Syro-Palestinian",2
4217,"Kom peoples, Tikar group",2
2849,"Greek, South Italian, probably Apulian",2
3849,"Italian, Ravenna or Padua",2
3851,"Italian, Reggio Emilia",2
3853,"Italian, Romagna",2
2846,"Greek, South Italian, Medmaean",2
2845,"Greek, South Italian, Lucanian?",2
5780,Senufo people,2
5778,Senufo or Dyula peoples,2
3819,"Italian, Milan with French, Paris mounts",2
4576,"Mexican, Guadalajara",2
2900,Guro peoples,2
4238,Korea or possibly Japan,2
4572,Mexican (Veracruz),2
5767,"Seminole, Native American",2
4234,Kopar or Angoram people,2
4985,Nicaragua,2
4794,Native American (Mic Mac),2
5227,"Okvik, Native American",2
4231,"Kongo, Vili group",2
4987,Nicobar Islands,2
3798,"Italian, Lombardy (?)",2
2874,"Greek, probably Asia Minor",2
3810,"Italian, Marches",2
3812,"Italian, Milan (?)",2
5735,Sassanian,2
4270,"Kuba peoples, Ngeende or Ngongo group",2
4533,Maure,2
3726,Italian or possibly French,2
3025,Iban artist,2
5338,Pende peoples (?),2
3628,Isla de Sacrificios,2
4950,New Guinea Highlands,2
3630,Islamic (?),2
3633,Islamic?,2
5334,Pekalongan (?),2
3641,Italian (?) or American (United States?),2
5330,Pasisir people,2
3646,Italian (Brescian),2
3014,Hunnic or Frankish,2
3013,"Hunkpapa Lakota/ Teton Sioux, Native American",2
3654,Italian (Pompeii),2
3008,"Hungarian, Úrvölogy (formerly Herrengrund)",2
3007,"Hungarian, Érsekújvár",2
5340,Penobscot,2
3618,"Irish, Dublin, Mountmellick",2
4498,Mangbetu or Zande peoples,2
5688,"Russian, probably Moscow",2
3056,Ilongot people,2
3055,"Ijo peoples, Kalabari group",2
3053,Igom people (?),2
5687,"Russian, possibly St. Petersburg",2
3048,"Igbo peoples,  Onitsha group",2
3614,"Irish, Belleek",2
3044,Igbo,2
3033,Ibero-Roman or Visigothic,2
3042,Ifugao,2
3039,"Ibibio peoples, Oron group",2
3037,"Ibibio peoples, Eket group",2
4308,Kyivan Rus’ or Byzantine,2
4496,Mangarevan people,2
5693,Russo-Byzantine,2
3005,"Hungarian, possibly Transylvania",2
3659,Italian (Rome),2
4507,Maohi (Tahitian),2
5293,Pakistani,2
2969,Hungarian or German,2
3693,Italian or Austrian,2
3694,Italian or Belgian,2
3696,Italian or Byzantine,2
5726,Sapi peoples,2
2964,Hungarian (Budapest),2
4524,Marshallese people,2
4830,Native American (Salishan),2
5281,"Pakistan (ancient region of Gandhara, Bajaur)",2
2957,"Hopi, Native American",2
2955,Hopewellian,2
4529,Matankol,2
4824,Native American (Pueblo),2
3723,Italian or Swiss,2
5296,Palembang (?),2
2978,"Hungarian, Holitsch",2
5711,Samoan,2
2993,"Hungarian, Pest",2
4509,Maori,2
2998,"Hungarian, Slovakia (South Netra)",2
4287,Kwere people,2
5318,Paracas (?),2
2997,"Hungarian, Slovakia",2
3668,Italian (Veneto),2
3676,Italian (or United States?),2
4280,Kushano-Sasanian,2
3680,Italian (probably Venice),2
2987,"Hungarian, Lőcse",2
4835,Native American (Shoshone),2
5305,Papua New Guinea (Huon Gulf),2
2981,"Hungarian, Kassa",2
4833,"Native American (Seneca, Tonawanda band)",2
3302,"India, Maharasthra, Pune",2
7312,unknown (Italian style),2
4718,Namau people,2
782,"British, London, after German, Augsburg original",2
1951,"French, Apt",2
1294,"Chinese, probably for the European Market",2
6269,"Thailand (Buriram province, Prakhon Chai)",2
780,"British, London, after Flemish, Antwerp original",2
7107,probably Central European,2
7106,probably Central American,2
6605,West China,2
776,"British, London, after British original",2
1935,"French or Swiss, probably",2
6273,Thailand (Haripunjaya),2
1929,French or Northern Spain,2
1928,French or North Spanish,2
1925,French or Italian?,2
6884,possibly British or Flemish,2
6276,Thailand (Lopburi),2
379,Baga people,2
381,Baganda,2
1953,"French, Arras",2
783,"British, London, after German, Nuremberg original",2
1306,Choiseul Island,2
1959,"French, Avon or Fontainebleau",2
337,"Austrian, South Tyrol",2
1281,"Chinese, possibly for Portuguese market",2
6254,"Tewa, Native American",2
1282,"Chinese, possibly for Scottish market",2
1283,"Chinese, possibly for Southeast Asian market",2
1977,"French, Caen",2
1285,"Chinese, probably Beijing",2
786,"British, London, after Russian original",2
1974,"French, Burgundy",2
1973,"French, Brest (Rennes Mint)",2
785,"British, London, after Portuguese original",2
1969,"French, Blois",2
346,"Austrian, carved in Italy",2
1290,"Chinese, probably for Continental European market",2
1967,"French, Bergues (Lille Mint)",2
784,"British, London, after Italian original",2
1960,"French, Baccarat",2
6281,Thailand (Paan),2
6282,Thailand (Phetchabun Province),2
1839,"Flemish, Malines",2
7080,probably Belgian or Dutch,2
6306,Thailand or Vietnam,2
1866,"France, Paris",2
416,Bamana or Bozo peoples,2
6587,Wasulu,2
6309,Thailand?,2
6586,"Washoe, Native American",2
1861,Frafra peoples,2
422,Bamenda,2
1859,"Fon peoples, Danhomè Kingdom",2
7069,probably Algerian,2
1854,"Flemish, probably Brussels",2
6313,Thracian or Celtic,2
430,Bamileke (Bangangte),2
6585,"Wasco, Native American",2
750,"British, Lambeth or French, Nevers",2
6581,Wari or Inca (?),2
1349,"Colonial American, St. Augustine, Florida",2
1332,Colima or Mixtec ,2
1884,French (?) or South Netherlandish (?),2
1908,French or American,2
6592,"Wendat/ Huron, Native American",2
7097,"probably British, London, Spitalfields",2
383,Bahau,2
7095,"probably British, Leeds with probably London decoration",2
7094,"probably British, Lambeth",2
389,Bajau,2
1308,Chokwe or Lwena (?),2
1901,French and Italian,2
394,Balinese people,2
1900,French and American,2
7090,probably British or Flemish,2
1312,Chopi people,2
6294,Thailand (Tak),2
1314,Chorrera or Bahia,2
762,"British, London (Battersea)",2
1885,French (Basque),2
6596,"West African, Baule",2
6893,possibly Bulgarian,2
1984,"French, Chalon-sur-Saône or Mâcon (Dijon Mint)",2
1279,"Chinese, possibly for European market",2
1275,"Chinese, possibly for American market",2
6641,"Western India, Maharashtra, Paithan or northern Karnataka",2
6640,"Western India, Karnataka",2
2116,"French, Paris, after French original",2
2113,"French, Paris with French, Chantilly case",2
2111,"French, Paris or Versailles",2
819,"British, Penn, Buckinghamshire",2
253,Aranta (?),2
1218,"Chinese, Canton, for European market",2
256,Arapesh people,2
6199,Syrian (?),2
2097,"French, Orange",2
1220,"Chinese, Dehua, for European market",2
818,"British, Oxfordshire",2
6203,Syrian or Egyptian,2
2089,"French, Nevers or Nivernais",2
6635,"Western European, probably Spanish",2
1227,"Chinese, for Anglo-American market",2
2083,"French, Narbonne (Perpignan Mint)",2
7163,probably German or French,2
2122,"French, Provence",2
1272,"Chinese, made for the European or American market",2
6183,"Swiss, St. Gall",2
6167,"Swiss, Fleurier",2
2153,"French, Salins",2
2152,"French, Saintonge",2
1195,Chinese for the Western market,2
7172,"probably German, Dresden",2
6858,"lock and stock, Algerian; barrel, European",2
2140,"French, Saint-Cloud or Paris",2
1201,Chinese or Philippine,2
2136,"French, Roumazière",2
2133,"French, Rouen or Quimper",2
6179,"Swiss, Saint Gall",2
7166,"probably German, Ansbach",2
245,"Apulian, possibly Tarentine",2
1203,"Chinese porcelain with German, Augsburg mounts",2
2131,"French, Rouen (Déville)",2
1205,"Chinese with Bohemian, Kronstadt decoration",2
821,"British, Phippsbridge, near Merton, Surrey",2
1230,"Chinese, for British or Continental European market",2
269,Asante peoples,2
2077,"French, Nancy",2
6210,Syro-Anatolian-Levantine or Neo-Assyrian,2
6229,Tanimbarese,2
2023,"French, Ivry",2
2022,"French, Italian or Spanish",2
289,Assiniboine,2
290,Assiniboine or Gros Ventre,2
1243,"Chinese, for Dutch or British market",2
1248,"Chinese, for European, possibly Continental, market",2
302,Atoni people,2
2012,"French, Dôle (Besançon Mint)",2
2011,"French, Draguignan (Aix Mint)",2
2005,"French, Crépy-en-Valois",2
309,Austrian (Salzburg),2
6875,"possibly Belgian, Tournai",2
1257,"Chinese, for Indian market",2
6618,Western Central Asia,2
331,"Austrian, Innsbruck or Mühlau",2
332,"Austrian, Klausen",2
6228,Tanimbar Islands,2
287,"Asmat people, Kolopom",2
7144,probably French or Italian,2
1235,"Chinese, for Continental European, possibly Danish, market",2
1231,"Chinese, for British or Scottish market",2
2073,"French, Mulhouse or Thann",2
2068,"French, Morlaix (Rennes Mint)",2
2065,"French, Montbéliard",2
273,Asia or America,2
2063,"French, Mirecourt",2
2058,"French, Meillonas",2
2055,"French, Marseilles (Aix Mint)",2
6225,Tala-Tonalá,2
1237,"Chinese, for Continental European, probably Portuguese, market",2
